195
5
1.000000e-03
1.931016e-312
97
3000
4.616206e+00
9.344482e-01
4.616206e-06
5.226398e-07
1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
169 188 178 49 159 
1.810159E-05 0.000000E+00 0.000000E+00 0.000000E+00 1.660870E-07 2.405276E-05 0.000000E+00 1.288033E-05 7.661800E-05 2.047374E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 8.317320E-04 0.000000E+00 0.000000E+00 3.900173E-05 5.625405E-04 2.814528E-05 0.000000E+00 2.931974E-05 0.000000E+00 4.423937E-04 2.376201E-05 0.000000E+00 2.158063E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 9.128257E-06 7.238297E-05 8.607933E-05 0.000000E+00 8.636501E-05 1.498784E-04 2.294216E-05 3.139297E-05 2.325270E-04 1.662974E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 9.874199E-05 1.593790E-06 0.000000E+00 0.000000E+00 2.525846E-05 0.000000E+00 3.007658E-04 0.000000E+00 0.000000E+00 0.000000E+00 4.612276E-05 0.000000E+00 1.338615E-05 8.186643E-05 0.000000E+00 1.746127E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.406739E-04 5.314097E-05 9.531598E-05 0.000000E+00 2.071375E-04 0.000000E+00 1.181579E-06 1.477379E-05 1.923382E-04 3.144849E-06 0.000000E+00 0.000000E+00 2.019491E-04 4.314318E-08 3.262575E-06 0.000000E+00 0.000000E+00 0.000000E+00 1.261630E-04 1.188006E-04 0.000000E+00 8.083133E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 5.785871E-07 0.000000E+00 2.471674E-06 9.714403E-08 0.000000E+00 3.165863E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 5.124475E-05 2.236488E-05 1.503029E-05 0.000000E+00 3.641476E-05 8.258790E-05 0.000000E+00 0.000000E+00 3.319339E-04 0.000000E+00 0.000000E+00 5.795058E-06 3.512003E-04 0.000000E+00 5.048509E-05 0.000000E+00 1.649021E-04 0.000000E+00 0.000000E+00 4.041827E-05 0.000000E+00 1.426762E-06 1.564070E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.867060E-07 0.000000E+00 0.000000E+00 1.798473E-08 0.000000E+00 1.774397E-06 0.000000E+00 9.821195E-05 0.000000E+00 2.058158E-06 1.827514E-07 0.000000E+00 8.960731E-06 6.145488E-05 0.000000E+00 0.000000E+00 1.998306E-05 0.000000E+00 6.702870E-05 1.732019E-05 6.519123E-05 4.335208E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.454829E-04 0.000000E+00 0.000000E+00 2.985790E-04 0.000000E+00 3.690961E-05 0.000000E+00 1.045169E-06 1.174364E-04 3.456718E-04 6.593047E-05 4.146601E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.198572E-04 0.000000E+00 0.000000E+00 0.000000E+00 5.104784E-04 0.000000E+00 2.117323E-06 0.000000E+00 4.318238E-05 6.965947E-06 3.834017E-06 9.996119E-04 7.924704E-06 0.000000E+00 9.314014E-04 0.000000E+00 4.182438E-05 2.936652E-04 0.000000E+00 3.851468E-05 0.000000E+00 1.308061E-04 2.537066E-04 
1 5 6 8 10 27 38 46 47 65 72 78 94 169 73 37 84 61 18 106 121 168 
25 32 71 124 134 143 188 144 160 83 157 104 77 102 165 152 33 118 149 194 
34 36 52 69 107 110 123 131 138 147 150 166 167 173 178 179 190 50 15 114 19 195 24 
22 49 58 79 95 113 164 185 189 56 151 59 39 9 67 177 184 187 192 40 
20 74 86 92 103 116 136 140 141 159 162 182 183 181 66 41 97 

============Find Best @ Round 1962================
==========Cluster 0, RcvInterf=5.40553e-15============
Node 0, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 4, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 5, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 7, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 9, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 26, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 37, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 45, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 46, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 64, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 71, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 77, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 93, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 168, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 72, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 36, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 83, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 60, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 17, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 105, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 120, SINR:1.38566e+00, BpsHz:5.97327e-02
Node 167, SINR:1.38566e+00, BpsHz:5.97327e-02
---------------
==========Cluster 1, RcvInterf=9.29314e-15============
Node 24, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 31, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 70, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 123, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 133, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 142, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 187, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 143, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 159, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 82, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 156, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 103, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 76, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 101, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 164, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 151, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 32, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 117, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 148, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 193, SINR:1.19606e+00, BpsHz:5.97327e-02
---------------
==========Cluster 2, RcvInterf=8.40703e-15============
Node 33, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 35, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 51, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 68, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 106, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 109, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 122, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 130, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 137, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 146, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 149, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 165, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 166, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 172, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 177, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 178, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 189, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 49, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 14, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 113, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 18, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 194, SINR:1.48650e+00, BpsHz:5.97327e-02
Node 23, SINR:1.48650e+00, BpsHz:5.97327e-02
---------------
==========Cluster 3, RcvInterf=9.09405e-15============
Node 21, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 48, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 57, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 78, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 94, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 112, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 163, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 184, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 188, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 55, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 150, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 58, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 38, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 8, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 66, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 176, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 183, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 186, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 191, SINR:1.19606e+00, BpsHz:5.97327e-02
Node 39, SINR:1.19606e+00, BpsHz:5.97327e-02
---------------
==========Cluster 4, RcvInterf=5.12869e-15============
Node 19, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 73, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 85, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 91, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 102, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 115, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 135, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 139, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 140, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 158, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 161, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 181, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 182, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 180, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 65, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 40, SINR:9.39551e-01, BpsHz:5.97327e-02
Node 96, SINR:9.39551e-01, BpsHz:5.97327e-02
---------------
