195
5
1.000000e-03
1.931016e-312
122
3000
5.396604e+00
1.293945e+00
5.396604e-06
6.791247e-07
1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
169 188 178 49 159 
1.469691E-05 1.731798E-04 0.000000E+00 4.339233E-05 1.348482E-07 1.952874E-05 0.000000E+00 1.045770E-05 7.661559E-05 1.662289E-05 0.000000E+00 1.963703E-04 0.000000E+00 1.445203E-04 0.000000E+00 3.420832E-04 0.000000E+00 3.166600E-05 0.000000E+00 3.790686E-05 0.000000E+00 2.931882E-05 0.000000E+00 0.000000E+00 2.054676E-05 8.307352E-05 1.752159E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 7.893109E-06 6.258880E-05 6.072134E-05 0.000000E+00 6.092285E-05 1.216882E-04 1.862703E-05 3.139198E-05 2.325197E-04 2.239740E-05 1.007227E-04 0.000000E+00 0.000000E+00 0.000000E+00 8.016988E-05 1.294018E-06 0.000000E+00 0.000000E+00 1.781760E-05 4.998711E-05 2.121636E-04 0.000000E+00 0.000000E+00 0.000000E+00 4.612131E-05 0.000000E+00 1.338573E-05 8.186385E-05 0.000000E+00 1.417702E-04 2.931264E-04 3.681855E-04 0.000000E+00 1.142150E-04 7.157175E-05 9.531298E-05 0.000000E+00 1.461171E-04 3.741534E-05 1.021699E-06 1.199503E-05 1.561619E-04 4.235570E-06 0.000000E+00 0.000000E+00 1.746233E-04 3.502850E-08 3.262473E-06 0.000000E+00 0.000000E+00 0.000000E+00 1.090918E-04 9.645576E-05 1.539197E-04 1.088659E-05 2.781078E-04 0.000000E+00 3.809779E-05 0.000000E+00 5.700138E-05 7.792572E-07 0.000000E+00 2.006784E-06 9.714098E-08 6.219560E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 4.431080E-05 3.012165E-05 1.299653E-05 0.000000E+00 2.956560E-05 5.825844E-05 0.000000E+00 4.486683E-04 2.341499E-04 0.000000E+00 0.000000E+00 5.794875E-06 2.477407E-04 0.000000E+00 6.799473E-05 0.000000E+00 1.425891E-04 0.000000E+00 4.951687E-05 3.281611E-05 2.361078E-04 1.006454E-06 1.352435E-05 5.454698E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.317046E-07 0.000000E+00 0.000000E+00 1.555121E-08 0.000000E+00 2.389808E-06 5.312307E-04 6.927983E-05 2.327779E-04 2.771985E-06 2.461346E-07 0.000000E+00 7.748251E-06 5.313939E-05 3.023006E-05 8.115075E-05 1.409628E-05 0.000000E+00 5.795902E-05 1.221786E-05 6.518918E-05 3.748609E-05 6.677617E-05 0.000000E+00 0.000000E+00 0.000000E+00 2.122665E-04 0.000000E+00 0.000000E+00 2.581781E-04 0.000000E+00 4.971089E-05 0.000000E+00 1.045136E-06 1.015460E-04 2.438408E-04 4.650810E-05 3.366678E-05 0.000000E+00 0.000000E+00 3.938397E-04 2.181743E-05 1.550898E-04 0.000000E+00 4.414684E-05 0.000000E+00 5.104623E-04 0.000000E+00 1.493584E-06 1.641320E-04 5.815923E-05 9.381932E-06 5.163760E-06 9.995805E-04 7.924455E-06 0.000000E+00 9.313721E-04 0.000000E+00 4.182306E-05 2.071548E-04 0.000000E+00 3.851347E-05 5.739658E-05 0.000000E+00 1.789675E-04 
1 5 6 8 10 18 27 37 38 46 47 61 65 72 73 78 84 94 96 106 109 121 168 169 172 70 
25 26 32 33 42 71 77 83 91 102 104 118 124 134 143 144 145 149 152 157 160 165 188 193 
34 36 50 52 69 107 110 114 123 131 138 147 150 166 167 171 173 178 179 180 190 195 62 
2 9 12 16 22 39 40 49 51 56 58 59 67 79 85 87 95 113 122 125 137 151 164 177 184 185 187 189 192 
4 14 20 41 63 66 74 86 89 92 103 116 120 136 139 140 141 146 153 159 162 175 181 182 183 

============Find Best @ Round 137================
==========Cluster 0, RcvInterf=5.68548e-15============
Node 0, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 4, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 5, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 7, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 9, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 17, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 26, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 36, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 37, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 45, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 46, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 60, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 64, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 71, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 72, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 77, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 83, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 93, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 95, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 105, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 108, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 120, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 167, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 168, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 171, SINR:1.11173e+00, BpsHz:4.31371e-02
Node 69, SINR:1.11173e+00, BpsHz:4.31371e-02
---------------
==========Cluster 1, RcvInterf=1.05368e-14============
Node 24, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 25, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 31, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 32, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 41, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 70, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 76, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 82, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 90, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 101, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 103, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 117, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 123, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 133, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 142, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 143, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 144, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 148, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 151, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 156, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 159, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 164, SINR:9.89153e-01, BpsHz:4.31371e-02
Node 187, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 192, SINR:9.89153e-01, BpsHz:4.31371e-02
---------------
==========Cluster 2, RcvInterf=1.17567e-14============
Node 33, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 35, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 49, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 51, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 68, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 106, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 109, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 113, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 122, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 130, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 137, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 146, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 149, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 165, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 166, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 170, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 172, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 177, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 178, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 179, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 189, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 194, SINR:9.30556e-01, BpsHz:4.31371e-02
Node 61, SINR:9.30556e-01, BpsHz:4.31371e-02
---------------
==========Cluster 3, RcvInterf=6.73842e-15============
Node 1, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 8, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 11, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 15, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 21, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 38, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 39, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 48, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 50, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 55, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 57, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 58, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 66, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 78, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 84, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 86, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 94, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 112, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 121, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 124, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 136, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 150, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 163, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 176, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 183, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 184, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 186, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 188, SINR:1.30991e+00, BpsHz:4.31371e-02
Node 191, SINR:1.30991e+00, BpsHz:4.31371e-02
---------------
==========Cluster 4, RcvInterf=9.88623e-15============
Node 3, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 13, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 19, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 40, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 62, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 65, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 73, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 85, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 88, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 91, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 102, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 115, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 119, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 135, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 138, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 139, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 140, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 145, SINR:1.04953e+00, BpsHz:4.31371e-02
Node 152, SINR:1.04953e+00, BpsHz:4.31371e-02
