195
5
1.000000e-03
1.931016e-312
122
3000
5.254160e+00
1.514893e+00
5.254160e-06
7.357703e-07
1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 
0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 
5 159 178 134 164 
4.764289E-05 1.411157E-04 0.000000E+00 3.089794E-05 0.000000E+00 6.554580E-06 5.158868E-04 1.612100E-06 4.575840E-05 9.252916E-06 0.000000E+00 3.936399E-05 0.000000E+00 0.000000E+00 4.771829E-04 0.000000E+00 0.000000E+00 9.095957E-06 3.227419E-04 2.699196E-05 0.000000E+00 4.092712E-05 0.000000E+00 2.538110E-04 2.467200E-05 0.000000E+00 5.590600E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.142202E-06 0.000000E+00 4.938560E-05 0.000000E+00 4.954950E-05 6.851196E-05 1.610854E-05 0.000000E+00 2.729133E-04 1.594829E-05 4.039511E-05 0.000000E+00 0.000000E+00 9.990691E-04 1.074807E-04 8.620600E-08 8.245642E-05 6.328359E-07 1.449133E-05 5.984146E-06 1.725560E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.754671E-05 0.000000E+00 2.208519E-05 0.000000E+00 0.000000E+00 2.189926E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.203338E-04 5.096338E-05 1.073618E-05 0.000000E+00 1.188393E-04 1.605805E-05 2.338646E-06 1.864949E-06 1.420353E-04 3.015980E-06 0.000000E+00 0.000000E+00 0.000000E+00 7.403372E-07 4.364058E-06 5.768230E-04 0.000000E+00 0.000000E+00 1.050995E-04 3.858820E-05 0.000000E+00 7.751906E-06 0.000000E+00 1.044357E-04 0.000000E+00 0.000000E+00 1.793729E-05 5.548779E-07 0.000000E+00 8.530872E-06 4.372307E-06 1.968426E-05 0.000000E+00 2.391846E-05 0.000000E+00 0.000000E+00 0.000000E+00 1.591864E-05 2.144842E-05 1.276172E-05 0.000000E+00 1.783817E-05 4.738249E-05 1.892884E-04 4.126538E-04 1.904377E-04 0.000000E+00 0.000000E+00 2.206832E-05 2.014913E-04 9.871410E-04 4.841633E-05 6.524873E-04 7.108872E-05 0.000000E+00 3.525899E-05 5.319008E-05 3.945746E-05 8.185647E-07 1.170848E-05 3.711789E-04 0.000000E+00 0.000000E+00 0.000000E+00 4.037137E-05 2.308026E-04 1.071173E-07 5.517308E-04 4.428822E-04 0.000000E+00 0.000000E+00 1.701687E-06 0.000000E+00 5.634635E-05 0.000000E+00 1.973820E-06 1.752626E-07 0.000000E+00 3.563270E-06 4.720770E-05 8.338205E-06 5.778421E-05 1.146472E-05 0.000000E+00 1.804041E-05 9.936973E-06 8.333256E-06 0.000000E+00 4.754864E-05 0.000000E+00 0.000000E+00 1.892418E-04 1.664351E-04 0.000000E+00 0.000000E+00 2.062525E-04 0.000000E+00 3.539714E-05 0.000000E+00 0.000000E+00 0.000000E+00 1.983195E-04 3.782576E-05 9.222618E-05 1.312626E-07 0.000000E+00 3.203159E-04 4.939930E-05 1.261369E-04 0.000000E+00 3.143520E-05 0.000000E+00 1.806286E-04 0.000000E+00 1.214755E-06 1.334911E-04 4.141286E-05 6.680499E-06 3.676908E-06 4.183064E-04 3.389791E-05 0.000000E+00 0.000000E+00 9.309174E-09 6.965621E-05 1.684822E-04 0.000000E+00 1.897196E-05 2.231121E-05 0.000000E+00 1.455570E-04 
1 5 6 8 10 18 27 37 38 46 47 48 61 65 70 72 73 78 80 84 88 94 96 106 109 115 121 129 132 156 168 169 172 
4 20 41 66 74 86 92 103 116 120 136 140 141 146 153 159 162 175 181 182 183 
15 19 24 34 36 45 50 52 69 107 108 110 114 117 123 130 131 133 138 147 150 166 167 171 173 178 179 180 190 195 
25 32 42 71 83 91 102 104 118 124 134 143 144 145 149 157 160 188 193 
9 12 22 40 49 51 56 58 67 79 95 113 122 125 151 164 177 184 185 189 192 2 98 7 

============Find Best @ Round 221================
==========Cluster 0, RcvInterf=2.27368e-15============
Node 0, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 4, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 5, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 7, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 9, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 17, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 26, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 36, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 37, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 45, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 46, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 47, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 60, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 64, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 69, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 71, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 72, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 77, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 79, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 83, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 87, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 93, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 95, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 105, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 108, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 114, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 120, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 128, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 131, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 155, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 167, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 168, SINR:1.26429e+00, BpsHz:3.68456e-02
Node 171, SINR:1.26429e+00, BpsHz:3.68456e-02
---------------
==========Cluster 1, RcvInterf=1.32631e-14============
Node 3, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 19, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 40, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 65, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 73, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 85, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 91, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 102, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 115, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 119, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 135, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 139, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 140, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 145, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 152, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 158, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 161, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 174, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 180, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 181, SINR:6.66604e-01, BpsHz:3.68456e-02
Node 182, SINR:6.66604e-01, BpsHz:3.68456e-02
---------------
==========Cluster 2, RcvInterf=2.52430e-15============
Node 14, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 18, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 23, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 33, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 35, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 44, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 49, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 51, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 68, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 106, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 107, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 109, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 113, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 116, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 122, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 129, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 130, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 132, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 137, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 146, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 149, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 165, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 166, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 170, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 172, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 177, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 178, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 179, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 189, SINR:1.09728e+00, BpsHz:3.68456e-02
Node 194, SINR:1.09728e+00, BpsHz:3.68456e-02
---------------
==========Cluster 3, RcvInterf=1.09528e-14============
Node 24, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 31, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 41, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 70, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 82, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 90, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 101, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 103, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 117, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 123, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 133, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 142, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 143, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 144, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 148, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 156, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 159, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 187, SINR:5.83613e-01, BpsHz:3.68456e-02
Node 192, SINR:5.83613e-01, BpsHz:3.68456e-02
---------------
==========Cluster 4, RcvInterf=6.54794e-15============
Node 8, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 11, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 21, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 39, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 48, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 50, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 55, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 57, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 66, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 78, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 94, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 112, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 121, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 124, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 150, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 163, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 176, SINR:7.99315e-01, BpsHz:3.68456e-02
Node 183, SINR:7.99315e-01, BpsHz:3.68456e-02
