195
5
1.000000e-03
1.931016e-312
114
3000
6.204654e+00
1.439819e+00
6.204655e-06
1.100854e-06
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 
0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 
131 51 27 140 102 
0.000000E+00 1.777662E-04 3.687936E-05 7.756686E-06 6.761302E-06 7.534156E-12 1.649327E-04 6.991587E-06 0.000000E+00 3.061417E-07 4.420827E-05 9.964793E-07 0.000000E+00 0.000000E+00 9.849787E-04 0.000000E+00 0.000000E+00 2.894620E-05 2.630610E-04 0.000000E+00 0.000000E+00 1.181270E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.238049E-05 0.000000E+00 9.995352E-04 0.000000E+00 4.668404E-05 0.000000E+00 8.967531E-05 0.000000E+00 3.510318E-05 0.000000E+00 1.156714E-04 2.833800E-06 3.686045E-06 0.000000E+00 6.498385E-04 4.917959E-05 3.292315E-04 0.000000E+00 1.112568E-04 0.000000E+00 8.433698E-05 9.049108E-07 0.000000E+00 6.068511E-05 1.049840E-05 0.000000E+00 1.814540E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.678751E-04 1.089665E-05 2.678779E-04 0.000000E+00 6.006232E-04 0.000000E+00 4.921114E-05 5.996238E-04 0.000000E+00 6.718370E-05 1.102920E-04 0.000000E+00 1.889560E-04 2.816484E-06 3.780739E-05 8.028288E-06 0.000000E+00 1.362923E-04 0.000000E+00 0.000000E+00 2.515553E-05 2.036934E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.607935E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 9.303667E-07 5.414374E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.723400E-06 0.000000E+00 0.000000E+00 9.961853E-05 0.000000E+00 0.000000E+00 0.000000E+00 3.541460E-04 0.000000E+00 1.308525E-04 0.000000E+00 7.411814E-05 0.000000E+00 1.415815E-04 2.100049E-04 1.745537E-04 0.000000E+00 1.721800E-04 0.000000E+00 0.000000E+00 8.881006E-05 0.000000E+00 8.854166E-04 0.000000E+00 4.129661E-06 0.000000E+00 3.257428E-06 2.988198E-06 6.069833E-04 3.590277E-04 6.473785E-05 0.000000E+00 0.000000E+00 1.199563E-05 1.705224E-04 0.000000E+00 3.314948E-04 3.571588E-04 3.753204E-05 2.110204E-04 2.980171E-07 0.000000E+00 1.860381E-04 2.989636E-04 0.000000E+00 1.675008E-05 0.000000E+00 2.376196E-04 0.000000E+00 3.069797E-06 1.606021E-05 1.057329E-05 2.657419E-05 3.587005E-06 2.613007E-06 6.303905E-10 5.214018E-05 0.000000E+00 2.006692E-04 7.855709E-04 1.631873E-04 0.000000E+00 9.265094E-04 4.743958E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.199797E-05 0.000000E+00 2.553780E-04 1.297711E-04 0.000000E+00 2.062724E-05 0.000000E+00 7.099478E-04 1.250135E-04 2.648551E-04 0.000000E+00 3.718415E-06 0.000000E+00 3.765911E-05 1.656241E-07 1.327061E-07 9.224072E-05 0.000000E+00 4.528964E-08 1.247022E-04 1.569718E-04 0.000000E+00 0.000000E+00 8.888186E-05 6.253927E-05 2.440320E-04 2.008949E-04 2.327789E-04 3.493215E-04 5.970816E-09 7.503652E-06 9.492886E-05 
19 34 36 50 52 69 107 110 123 130 131 133 135 138 147 150 166 167 173 178 179 180 190 195 171 15 59 
2 7 12 22 51 79 122 148 151 164 177 184 187 125 189 49 113 40 192 
5 6 8 10 27 37 38 47 72 84 96 129 73 109 65 169 18 46 80 105 132 61 
4 74 120 136 140 141 159 175 182 3 41 183 139 63 146 66 116 30 103 191 28 76 
11 26 32 42 44 60 68 71 90 91 99 102 111 118 126 134 143 145 149 152 188 193 194 158 172 124 156 154 155 

============Find Best @ Round 1565================
==========Cluster 0, RcvInterf=1.64419e-14============
Node 18, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 33, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 35, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 49, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 51, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 68, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 106, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 109, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 122, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 129, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 130, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 132, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 134, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 137, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 146, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 149, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 165, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 166, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 172, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 177, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 178, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 179, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 189, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 194, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 170, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 14, SINR:1.01103e+00, BpsHz:3.87667e-02
Node 58, SINR:1.01103e+00, BpsHz:3.87667e-02
---------------
==========Cluster 1, RcvInterf=4.52452e-14============
Node 1, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 6, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 11, SINR:6.22030e-01, BpsHz:3.87667e-02
Node 21, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 50, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 78, SINR:6.22030e-01, BpsHz:3.87667e-02
Node 121, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 147, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 150, SINR:6.22030e-01, BpsHz:3.87667e-02
Node 163, SINR:6.22030e-01, BpsHz:3.87667e-02
Node 176, SINR:6.22030e-01, BpsHz:3.87667e-02
Node 183, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 186, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 124, SINR:6.22030e-01, BpsHz:3.87667e-02
Node 188, SINR:6.22030e-01, BpsHz:3.87667e-02
Node 48, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 112, SINR:6.22031e-01, BpsHz:3.87667e-02
Node 39, SINR:6.22030e-01, BpsHz:3.87667e-02
Node 191, SINR:6.22030e-01, BpsHz:3.87667e-02
---------------
==========Cluster 2, RcvInterf=2.28852e-14============
Node 4, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 5, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 7, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 9, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 26, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 36, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 37, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 46, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 71, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 83, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 95, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 128, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 72, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 108, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 64, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 168, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 17, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 45, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 79, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 104, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 131, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 60, SINR:7.58202e-01, BpsHz:3.87667e-02
---------------
==========Cluster 3, RcvInterf=4.80614e-14============
Node 3, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 73, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 119, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 135, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 139, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 140, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 158, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 174, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 181, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 2, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 40, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 182, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 138, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 62, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 145, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 65, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 115, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 29, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 102, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 190, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 27, SINR:7.58202e-01, BpsHz:3.87667e-02
Node 75, SINR:7.58202e-01, BpsHz:3.87667e-02
---------------
==========Cluster 4, RcvInterf=1.75054e-14============
Node 10, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 25, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 31, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 41, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 43, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 59, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 67, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 70, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 89, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 90, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 98, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 101, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 110, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 117, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 125, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 133, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 142, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 144, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 148, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 151, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 187, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 192, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 193, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 157, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 171, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 123, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 155, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 153, SINR:1.12206e+00, BpsHz:3.87667e-02
Node 154, SINR:1.12206e+00, BpsHz:3.87667e-02
---------------
