195
5
1.000000e-03
1.931016e-312
151
3000
9.623513e+00
3.699951e+00
9.623513e-06
1.498328e-06
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 0 1 0 0 1 
1 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
188 170 39 96 186 
2.490887E-04 1.126958E-04 0.000000E+00 3.566440E-05 9.026829E-06 1.094293E-06 0.000000E+00 1.050306E-06 0.000000E+00 7.599801E-06 1.481802E-05 0.000000E+00 2.738733E-04 2.881236E-04 3.490118E-05 5.237439E-06 0.000000E+00 2.401918E-06 4.155272E-04 3.129336E-04 0.000000E+00 2.324771E-05 1.670426E-04 3.268216E-06 8.998598E-06 3.638263E-05 1.032656E-06 1.086587E-06 1.103429E-04 3.247524E-05 8.751357E-05 3.456842E-06 2.741120E-05 5.000375E-04 3.105785E-05 8.431076E-05 6.577920E-06 2.319738E-05 0.000000E+00 4.779689E-05 1.048589E-04 4.411221E-05 4.826947E-05 0.000000E+00 3.159442E-05 1.549370E-04 3.525537E-06 8.752078E-06 1.062860E-05 2.962384E-05 2.265858E-04 0.000000E+00 3.932291E-05 0.000000E+00 1.850194E-04 1.198591E-04 1.513627E-04 1.524797E-05 1.574229E-07 0.000000E+00 3.533573E-04 9.356476E-06 1.638051E-04 1.421309E-05 1.028250E-04 0.000000E+00 0.000000E+00 1.067693E-05 0.000000E+00 1.544752E-05 4.474604E-07 3.732530E-07 7.812642E-05 1.775827E-04 7.323473E-06 0.000000E+00 7.647748E-05 4.522582E-05 2.469366E-05 2.017149E-05 1.139973E-06 2.200467E-05 4.777753E-05 1.234487E-07 8.577954E-05 2.826957E-04 2.205493E-06 5.682412E-06 7.431196E-05 0.000000E+00 2.496415E-05 0.000000E+00 1.231303E-05 0.000000E+00 2.970393E-06 0.000000E+00 4.780173E-05 1.066701E-04 6.706467E-07 0.000000E+00 1.516972E-05 1.940622E-05 2.987062E-04 5.691923E-06 5.465297E-06 0.000000E+00 2.663958E-04 3.824989E-05 1.793490E-04 0.000000E+00 0.000000E+00 3.598559E-05 3.050773E-06 1.677022E-05 0.000000E+00 1.031734E-04 3.148809E-05 6.244789E-05 6.658642E-04 5.147163E-05 2.334885E-05 0.000000E+00 1.617714E-04 5.923085E-06 3.153395E-04 6.546944E-05 3.093132E-06 1.047673E-06 2.429169E-08 2.430460E-04 2.037236E-04 3.942183E-04 6.810539E-05 6.810760E-09 5.661861E-07 0.000000E+00 1.286516E-05 1.620899E-05 8.363101E-05 1.637410E-04 0.000000E+00 8.457713E-08 3.393401E-06 2.327277E-05 1.323947E-05 2.080776E-05 3.851262E-05 0.000000E+00 2.538356E-05 1.503203E-04 0.000000E+00 1.641729E-05 5.573083E-05 3.776071E-05 8.050130E-07 3.563638E-06 9.296359E-05 1.498640E-04 0.000000E+00 1.130709E-04 2.560220E-05 0.000000E+00 2.323690E-04 5.197486E-05 4.447278E-05 0.000000E+00 2.568383E-05 0.000000E+00 2.776333E-05 0.000000E+00 2.072338E-05 5.751941E-05 7.719344E-05 3.616967E-05 0.000000E+00 7.480561E-07 6.876843E-04 0.000000E+00 1.089853E-04 2.998258E-04 4.252632E-05 0.000000E+00 0.000000E+00 9.994989E-04 5.426451E-07 0.000000E+00 0.000000E+00 0.000000E+00 1.320742E-05 0.000000E+00 0.000000E+00 8.989018E-05 2.513723E-05 0.000000E+00 5.270464E-05 
13 23 25 26 29 31 32 33 42 71 77 83 91 98 102 104 118 119 124 126 134 143 144 145 149 152 154 157 158 160 163 165 188 193 
4 15 24 28 36 43 45 57 62 63 97 107 114 116 117 120 128 138 139 146 153 167 170 171 173 174 181 74 140 
2 16 19 22 39 40 49 50 51 58 59 79 87 95 113 123 125 130 131 133 135 137 147 150 164 179 180 184 185 189 192 195 34 85 177 56 
5 6 8 10 14 18 20 27 37 38 46 47 55 61 65 70 72 73 78 80 82 84 86 88 89 96 101 103 105 109 129 132 161 169 1 
48 64 68 75 81 93 99 127 142 155 156 176 186 121 53 108 35 30 11 112 172 41 

============Find Best @ Round 326================
==========Cluster 0, RcvInterf=1.19989e-14============
Node 12, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 22, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 24, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 25, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 28, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 30, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 31, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 32, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 41, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 70, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 76, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 82, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 90, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 97, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 101, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 103, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 117, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 118, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 123, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 125, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 133, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 142, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 143, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 144, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 148, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 151, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 153, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 156, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 157, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 159, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 162, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 164, SINR:4.12092e-01, BpsHz:1.50859e-02
Node 187, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 192, SINR:4.12092e-01, BpsHz:1.50859e-02
---------------
==========Cluster 1, RcvInterf=7.51498e-15============
Node 3, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 14, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 23, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 27, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 35, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 42, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 44, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 56, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 61, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 62, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 96, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 106, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 113, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 115, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 116, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 119, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 127, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 137, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 138, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 145, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 152, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 166, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 169, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 170, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 172, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 173, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 180, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 73, SINR:3.40160e-01, BpsHz:1.50859e-02
Node 139, SINR:3.40160e-01, BpsHz:1.50859e-02
---------------
==========Cluster 2, RcvInterf=6.82639e-15============
Node 1, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 15, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 18, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 21, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 38, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 39, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 48, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 49, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 50, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 57, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 58, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 78, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 86, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 94, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 112, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 122, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 124, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 129, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 130, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 132, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 134, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 136, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 146, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 149, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 163, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 178, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 179, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 183, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 184, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 188, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 191, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 194, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 33, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 84, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 176, SINR:4.41935e-01, BpsHz:1.50859e-02
Node 55, SINR:4.41935e-01, BpsHz:1.50859e-02
---------------
==========Cluster 3, RcvInterf=9.53166e-15============
Node 4, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 5, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 7, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 9, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 13, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 17, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 19, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 26, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 36, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 37, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 45, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 46, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 54, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 60, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 64, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 69, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 71, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 72, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 77, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 79, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 81, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 83, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 85, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 87, SINR:4.26936e-01, BpsHz:1.50859e-02
Node 88, SINR:4.26936e-01, BpsHz:1.50859e-02
