195
5
1.000000e-03
1.931016e-312
154
3000
8.064855e+00
2.795410e+00
8.064855e-06
1.911903e-06
0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 
1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 
122 127 1 131 159 
0.000000E+00 2.687420E-04 1.153815E-04 3.158002E-05 4.806631E-05 2.028842E-04 4.196838E-05 2.349820E-04 2.496957E-05 1.168601E-04 6.170574E-06 3.385247E-07 2.013730E-04 1.051788E-04 5.238918E-04 0.000000E+00 0.000000E+00 0.000000E+00 1.399173E-04 2.758781E-05 5.497177E-05 2.312242E-04 3.618862E-05 3.455509E-04 1.845505E-04 0.000000E+00 1.952548E-04 9.207306E-04 1.402540E-06 7.737734E-05 1.348574E-05 3.976510E-04 1.651523E-05 1.867073E-05 0.000000E+00 6.152345E-05 4.845682E-04 7.152178E-05 0.000000E+00 7.941687E-04 1.630035E-05 2.288411E-04 0.000000E+00 2.520211E-06 0.000000E+00 5.016236E-05 7.700166E-05 0.000000E+00 1.236363E-04 5.583903E-06 1.405033E-06 9.651200E-05 2.876929E-06 1.943482E-04 7.598917E-04 0.000000E+00 4.422206E-04 1.204224E-04 1.424778E-04 3.335582E-05 3.300416E-05 0.000000E+00 2.679577E-04 1.500630E-07 1.361784E-04 5.208841E-05 1.190660E-05 0.000000E+00 5.866228E-05 0.000000E+00 1.789249E-04 0.000000E+00 2.481546E-04 3.082559E-06 8.289734E-07 5.362100E-05 2.014654E-04 1.236397E-05 8.469141E-05 0.000000E+00 4.207933E-05 9.925458E-05 1.897804E-04 0.000000E+00 1.983779E-05 7.923030E-06 2.926773E-04 0.000000E+00 2.772677E-05 5.965539E-05 8.621777E-05 5.671270E-07 6.894187E-08 9.036480E-06 0.000000E+00 5.480000E-04 3.103156E-04 7.774314E-06 7.032264E-06 3.102658E-04 9.990708E-04 0.000000E+00 2.192190E-05 8.111907E-05 3.426899E-04 2.809862E-04 3.942206E-05 1.848857E-05 5.691036E-04 1.116977E-04 5.899443E-06 7.528027E-06 0.000000E+00 2.560549E-04 1.992175E-04 4.948513E-05 7.087564E-04 7.768100E-04 2.646570E-05 3.603734E-05 0.000000E+00 0.000000E+00 1.589367E-06 8.130110E-04 3.897558E-04 2.474250E-05 0.000000E+00 0.000000E+00 0.000000E+00 9.069768E-05 0.000000E+00 3.536587E-04 1.899661E-04 0.000000E+00 1.122378E-04 1.739252E-06 5.930002E-04 9.895018E-05 1.694109E-04 2.017392E-06 1.791316E-07 1.291069E-05 0.000000E+00 0.000000E+00 0.000000E+00 5.905981E-05 5.623734E-06 8.249784E-07 8.792213E-05 1.389810E-06 7.800430E-07 0.000000E+00 4.859829E-05 4.659237E-05 4.254001E-05 5.650314E-05 0.000000E+00 2.911338E-04 0.000000E+00 9.260362E-04 5.315815E-04 3.617854E-05 1.556043E-05 3.412294E-05 2.405302E-05 1.358308E-04 6.902281E-05 1.438232E-07 1.443327E-05 0.000000E+00 3.776080E-04 2.258700E-05 1.408715E-04 0.000000E+00 3.212914E-05 3.887088E-05 2.483553E-05 8.809236E-08 7.058389E-08 4.906112E-05 4.232706E-05 6.827972E-06 3.758076E-06 9.049494E-05 0.000000E+00 4.135289E-06 3.399382E-05 0.000000E+00 0.000000E+00 1.068523E-04 0.000000E+00 4.868200E-05 0.000000E+00 4.190686E-05 5.049089E-05 
2 7 12 13 22 23 25 29 31 33 49 51 67 71 77 79 83 98 104 119 122 125 148 151 154 164 165 177 184 187 160 40 124 
11 53 64 75 93 99 112 127 186 176 108 9 85 194 142 155 192 90 81 156 58 
1 5 6 10 27 38 42 44 46 47 54 60 61 65 73 78 91 94 100 109 111 115 126 132 149 158 163 168 169 172 118 32 8 37 96 106 
15 19 34 36 50 52 59 69 87 107 110 114 123 130 131 133 135 138 147 150 166 167 171 173 178 179 180 190 195 117 24 137 
4 14 20 21 41 57 63 66 74 76 82 86 89 92 97 103 116 120 136 139 140 141 146 153 159 162 175 181 182 183 55 161 3 105 28 30 101 

============Find Best @ Round 2715================
==========Cluster 0, RcvInterf=1.24535e-14============
Node 1, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 6, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 11, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 12, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 21, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 22, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 24, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 28, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 30, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 32, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 48, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 50, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 66, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 70, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 76, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 78, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 82, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 97, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 103, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 118, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 121, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 124, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 147, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 150, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 153, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 163, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 164, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 176, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 183, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 186, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 159, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 39, SINR:5.57203e-01, BpsHz:1.99674e-02
Node 123, SINR:5.57203e-01, BpsHz:1.99674e-02
---------------
==========Cluster 1, RcvInterf=1.93262e-14============
Node 10, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 52, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 63, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 74, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 92, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 98, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 111, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 126, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 185, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 175, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 107, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 8, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 84, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 193, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 141, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 154, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 191, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 89, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 80, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 155, SINR:3.18912e-01, BpsHz:1.99674e-02
Node 57, SINR:3.18912e-01, BpsHz:1.99674e-02
---------------
==========Cluster 2, RcvInterf=2.34935e-14============
Node 0, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 4, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 5, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 9, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 26, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 37, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 41, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 43, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 45, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 46, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 53, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 59, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 60, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 64, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 72, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 77, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 90, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 93, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 99, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 108, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 110, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 114, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 125, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 131, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 148, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 157, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 162, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 167, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 168, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 171, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 117, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 31, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 7, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 36, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 95, SINR:6.23221e-01, BpsHz:1.99674e-02
Node 105, SINR:6.23221e-01, BpsHz:1.99674e-02
---------------
==========Cluster 3, RcvInterf=1.65671e-14============
Node 14, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 18, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 33, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 35, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 49, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 51, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 58, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 68, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 86, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 106, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 109, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 113, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 122, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 129, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 130, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 132, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 134, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 137, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 146, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 149, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 165, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 166, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 170, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 172, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 177, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 178, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 179, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 189, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 194, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 116, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 23, SINR:5.35799e-01, BpsHz:1.99674e-02
Node 136, SINR:5.35799e-01, BpsHz:1.99674e-02
---------------
==========Cluster 4, RcvInterf=1.49804e-14============
Node 3, SINR:6.45843e-01, BpsHz:1.99674e-02
