195
5
1.000000e-03
1.755717e-303
142
3000
8.833074e+00
2.205811e+00
8.833074e-06
1.293742e-06
0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 
1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 
0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 
82 170 168 50 29 
1.438811E-07 0.000000E+00 0.000000E+00 5.304498E-05 9.308329E-05 0.000000E+00 1.263176E-04 5.241262E-05 0.000000E+00 0.000000E+00 0.000000E+00 1.707890E-05 9.352246E-05 6.017772E-05 5.190982E-05 1.486352E-04 5.062141E-05 1.794879E-05 2.431446E-04 3.989473E-05 2.482294E-05 0.000000E+00 8.533813E-06 4.860939E-06 4.983592E-05 0.000000E+00 0.000000E+00 1.616121E-06 0.000000E+00 0.000000E+00 1.466705E-05 2.081658E-04 9.190306E-07 1.106448E-04 8.468804E-05 0.000000E+00 0.000000E+00 1.729051E-04 5.006605E-05 0.000000E+00 3.627133E-05 1.299940E-04 0.000000E+00 1.256457E-07 4.699156E-05 1.265786E-04 0.000000E+00 1.720725E-04 0.000000E+00 0.000000E+00 3.522942E-05 4.107449E-04 1.433220E-04 2.537614E-04 1.587697E-04 0.000000E+00 0.000000E+00 7.425615E-05 1.161189E-05 8.658450E-06 7.788366E-05 1.391623E-05 2.436335E-04 0.000000E+00 2.946030E-04 1.665351E-04 2.443296E-05 9.022634E-05 2.662111E-04 2.909388E-05 5.647042E-05 6.095035E-05 4.920588E-04 2.641253E-04 0.000000E+00 4.006152E-05 6.577260E-05 2.310698E-05 0.000000E+00 1.077072E-04 0.000000E+00 0.000000E+00 5.645793E-05 1.236922E-04 7.714721E-05 2.367008E-05 6.679758E-05 2.200965E-07 4.193082E-07 0.000000E+00 3.279080E-05 0.000000E+00 4.389100E-04 1.027238E-05 1.929711E-04 4.758219E-05 7.109729E-05 1.014561E-05 0.000000E+00 4.053068E-04 5.642740E-05 1.508769E-04 3.391189E-05 3.183318E-05 1.803074E-06 0.000000E+00 0.000000E+00 0.000000E+00 9.995303E-04 4.734393E-04 1.178259E-06 1.715915E-04 3.387167E-04 2.494297E-05 3.011168E-04 0.000000E+00 4.683341E-05 5.273528E-04 3.198121E-05 0.000000E+00 5.807241E-05 1.948698E-06 3.058676E-06 3.835633E-04 0.000000E+00 6.257555E-06 0.000000E+00 1.558243E-06 2.042584E-05 1.329032E-04 5.590450E-06 6.279359E-04 1.120127E-04 0.000000E+00 9.650911E-06 2.158417E-04 2.050358E-04 2.410823E-05 1.243875E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 3.003736E-04 5.250271E-05 3.094816E-05 7.017675E-09 4.341116E-06 3.009666E-05 9.892758E-06 2.692354E-05 9.812007E-05 8.289054E-05 3.375041E-05 0.000000E+00 1.872990E-04 5.661296E-04 2.045225E-04 1.184384E-04 4.739207E-04 2.229800E-05 2.768351E-04 9.066758E-06 1.702322E-04 1.610425E-06 0.000000E+00 3.820052E-05 0.000000E+00 0.000000E+00 0.000000E+00 3.082266E-05 1.343025E-05 0.000000E+00 5.379649E-05 0.000000E+00 0.000000E+00 1.493866E-04 1.193151E-05 9.961695E-07 1.094418E-04 6.325098E-05 0.000000E+00 3.287729E-05 3.585919E-04 1.960298E-04 0.000000E+00 1.462594E-04 0.000000E+00 0.000000E+00 4.990474E-04 1.138288E-04 2.834602E-04 1.903129E-04 0.000000E+00 2.859112E-05 
82 89 18 101 183 20 14 103 105 21 70 162 66 96 35 80 88 129 55 17 161 86 84 41 76 8 72 159 
170 45 128 62 28 24 97 15 117 138 114 4 139 153 174 181 167 146 171 63 74 136 191 
168 61 91 172 149 46 54 1 60 115 163 68 132 102 100 73 158 5 65 32 109 193 145 118 38 126 111 78 44 121 156 42 94 48 
50 39 87 52 59 150 69 135 180 190 147 19 131 110 16 112 123 179 53 34 95 137 133 178 58 113 85 195 130 185 93 192 
29 148 25 33 154 51 83 104 122 31 177 119 152 71 98 157 7 144 67 124 165 12 164 184 151 187 23 160 13 77 

============Find Best @ Round 954================
==========Cluster 0, RcvInterf=2.39614e-14============
Node 81, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 88, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 17, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 100, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 182, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 19, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 13, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 102, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 104, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 20, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 69, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 161, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 65, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 95, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 34, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 79, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 87, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 128, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 54, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 16, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 160, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 85, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 83, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 40, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 75, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 7, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 71, SINR:6.05723e-01, BpsHz:2.53046e-02
Node 158, SINR:6.05723e-01, BpsHz:2.53046e-02
---------------
==========Cluster 1, RcvInterf=9.41308e-15============
Node 169, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 44, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 127, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 61, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 27, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 23, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 96, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 14, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 116, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 137, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 113, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 3, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 138, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 152, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 173, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 180, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 166, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 145, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 170, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 62, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 73, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 135, SINR:4.70901e-01, BpsHz:2.53046e-02
Node 190, SINR:4.70901e-01, BpsHz:2.53046e-02
---------------
==========Cluster 2, RcvInterf=1.50008e-14============
Node 167, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 60, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 90, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 171, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 148, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 45, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 53, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 0, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 59, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 114, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 162, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 67, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 131, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 101, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 99, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 72, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 157, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 4, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 64, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 31, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 108, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 192, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 144, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 117, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 37, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 125, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 110, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 77, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 43, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 120, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 155, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 41, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 93, SINR:7.83920e-01, BpsHz:2.53046e-02
Node 47, SINR:7.83920e-01, BpsHz:2.53046e-02
---------------
==========Cluster 3, RcvInterf=7.66736e-15============
Node 49, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 38, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 86, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 51, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 58, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 149, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 68, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 134, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 179, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 189, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 146, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 18, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 130, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 109, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 15, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 111, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 122, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 178, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 52, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 33, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 94, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 136, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 132, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 177, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 57, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 112, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 84, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 194, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 129, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 184, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 92, SINR:7.22425e-01, BpsHz:2.53046e-02
Node 191, SINR:7.22425e-01, BpsHz:2.53046e-02
---------------
==========Cluster 4, RcvInterf=1.75576e-14============
Node 28, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 147, SINR:6.63051e-01, BpsHz:2.53046e-02
Node 24, SINR:6.63051e-01, BpsHz:2.53046e-02
Node 32, SINR:6.63051e-01, BpsHz:2.53046e-02
Node 153, SINR:6.63051e-01, BpsHz:2.53046e-02
