195
5
1.000000e-03
1.931016e-312
161
3000
9.549304e+00
2.954102e+00
9.549305e-06
2.149068e-06
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 
0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 
1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 
131 102 122 10 136 
6.822636E-05 3.380805E-04 4.080661E-05 1.690956E-06 5.450136E-06 1.321961E-07 5.279672E-05 1.365582E-05 0.000000E+00 0.000000E+00 2.597995E-05 4.258680E-07 2.533296E-04 4.083716E-04 6.534841E-04 6.335495E-04 1.264150E-04 4.249320E-05 1.745278E-04 1.597642E-04 0.000000E+00 2.908827E-04 4.552571E-05 4.310278E-04 0.000000E+00 7.275664E-06 1.491006E-07 3.348705E-04 1.764411E-06 6.652744E-05 1.696522E-05 5.269964E-05 2.077635E-05 2.328920E-05 0.000000E+00 7.674217E-05 1.362230E-06 5.811173E-08 4.289709E-04 9.990735E-04 5.715666E-05 1.934800E-04 0.000000E+00 6.538250E-05 0.000000E+00 1.097349E-05 1.226215E-06 0.000000E+00 1.555359E-04 6.965162E-06 1.767548E-06 1.203856E-04 3.961481E-04 4.758912E-04 0.000000E+00 2.658447E-04 2.187615E-04 5.360848E-04 1.777217E-04 6.403650E-06 5.130630E-05 0.000000E+00 1.287690E-04 3.018769E-04 5.326733E-06 1.965019E-04 1.497864E-05 3.948196E-05 7.317324E-05 9.694709E-05 0.000000E+00 7.948041E-06 4.453304E-06 2.838530E-07 0.000000E+00 1.384644E-04 2.534458E-04 2.353767E-05 1.065428E-04 1.950424E-04 0.000000E+00 0.000000E+00 2.387460E-04 5.213619E-06 3.969611E-04 7.811977E-05 3.650752E-04 0.000000E+00 1.727194E-04 5.467502E-07 3.181874E-05 2.743879E-06 0.000000E+00 0.000000E+00 0.000000E+00 9.761460E-06 1.077093E-04 9.780179E-06 5.854300E-05 5.611589E-04 1.959077E-04 0.000000E+00 1.396342E-04 0.000000E+00 1.596647E-04 0.000000E+00 4.917368E-05 3.385331E-04 2.833668E-05 1.393277E-04 1.025803E-04 3.032526E-04 3.828278E-04 3.193938E-04 2.861386E-04 1.163112E-05 8.840776E-04 5.203343E-04 3.329416E-05 4.684813E-06 1.160698E-04 0.000000E+00 1.982520E-06 3.567069E-04 4.903174E-04 3.804460E-05 3.164277E-04 0.000000E+00 2.616881E-05 1.131331E-04 0.000000E+00 6.676831E-05 2.369570E-04 2.205652E-05 1.400015E-04 0.000000E+00 7.396874E-04 1.234269E-04 5.758591E-05 1.371853E-07 2.940070E-06 1.598639E-04 1.396423E-04 0.000000E+00 1.804033E-06 5.874233E-06 7.014846E-06 1.037832E-06 2.107982E-06 1.733599E-06 9.813032E-07 3.064131E-05 6.608110E-06 0.000000E+00 4.616578E-04 9.590058E-05 0.000000E+00 5.444834E-04 1.882692E-06 0.000000E+00 3.211075E-04 1.188163E-04 2.717323E-04 4.292706E-05 3.025898E-05 1.694305E-04 8.609660E-05 0.000000E+00 9.530841E-06 3.855202E-04 4.710148E-04 7.346690E-05 1.757181E-04 0.000000E+00 7.630498E-06 0.000000E+00 3.124339E-05 1.098833E-07 8.804384E-08 6.119710E-05 3.924636E-06 3.582234E-07 5.005033E-05 1.138437E-04 0.000000E+00 2.776893E-04 4.276463E-05 3.675256E-05 4.938061E-04 1.332837E-04 1.927256E-04 0.000000E+00 3.508880E-09 4.409684E-06 6.298054E-05 
15 16 19 34 36 50 52 59 69 87 107 110 114 117 123 130 131 133 135 137 138 147 150 166 167 171 173 178 179 180 190 195 24 112 39 108 53 85 58 
26 32 42 44 60 68 90 91 99 102 111 118 126 134 142 143 145 149 152 156 172 188 193 194 11 158 121 124 64 163 186 155 127 
2 7 12 13 22 23 29 31 33 49 51 67 77 79 83 98 113 119 122 125 148 151 164 165 177 184 187 189 40 56 
5 6 8 10 18 27 37 38 46 47 61 65 72 73 78 80 84 96 101 109 115 129 132 169 105 100 70 54 161 1 
3 4 17 20 28 30 41 57 63 66 74 76 86 92 97 103 116 120 136 139 140 141 146 153 159 162 175 181 182 183 14 89 191 170 

============Find Best @ Round 2663================
==========Cluster 0, RcvInterf=1.78233e-14============
Node 14, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 15, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 18, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 33, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 35, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 49, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 51, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 58, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 68, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 86, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 106, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 109, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 113, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 116, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 122, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 129, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 130, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 132, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 134, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 136, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 137, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 146, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 149, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 165, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 166, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 170, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 172, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 177, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 178, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 179, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 189, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 194, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 23, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 111, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 38, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 107, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 52, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 84, SINR:6.44902e-01, BpsHz:1.88948e-02
Node 57, SINR:6.44902e-01, BpsHz:1.88948e-02
---------------
==========Cluster 1, RcvInterf=2.69727e-14============
Node 25, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 31, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 41, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 43, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 59, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 67, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 89, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 90, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 98, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 101, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 110, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 117, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 125, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 133, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 141, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 142, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 144, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 148, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 151, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 155, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 171, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 187, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 192, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 193, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 10, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 157, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 120, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 123, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 63, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 162, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 185, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 154, SINR:5.20592e-01, BpsHz:1.88948e-02
Node 126, SINR:5.20592e-01, BpsHz:1.88948e-02
---------------
==========Cluster 2, RcvInterf=2.82049e-14============
Node 1, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 6, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 11, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 12, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 21, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 22, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 28, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 30, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 32, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 48, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 50, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 66, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 76, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 78, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 82, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 97, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 112, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 118, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 121, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 124, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 147, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 150, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 163, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 164, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 176, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 183, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 186, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 188, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 39, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 55, SINR:4.62005e-01, BpsHz:1.88948e-02
---------------
==========Cluster 3, RcvInterf=1.46784e-14============
Node 4, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 5, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 7, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 9, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 17, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 26, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 36, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 37, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 45, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 46, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 60, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 64, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 71, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 72, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 77, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 79, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 83, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 95, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 100, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 108, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 114, SINR:4.62005e-01, BpsHz:1.88948e-02
Node 128, SINR:4.62005e-01, BpsHz:1.88948e-02
