195
7
1.000000e-03
1.931016e-312
144
3000
1.225053e+01
1.427917e+00
1.225053e-05
1.196989e-06
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 
1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 
0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
127 46 4 79 188 107 82 
3.053368E-05 3.296924E-05 2.903161E-05 0.000000E+00 0.000000E+00 4.177574E-05 9.967409E-04 0.000000E+00 7.601639E-05 1.144089E-05 1.878546E-05 1.254576E-04 0.000000E+00 5.019581E-05 1.388485E-04 5.034186E-04 0.000000E+00 1.497156E-05 4.998724E-04 0.000000E+00 2.070546E-05 2.291248E-06 7.385726E-04 2.703334E-04 3.978697E-05 0.000000E+00 0.000000E+00 1.357654E-04 0.000000E+00 1.405704E-04 0.000000E+00 1.528430E-05 1.211976E-04 3.378540E-05 0.000000E+00 3.761932E-06 4.509108E-05 2.623214E-06 1.092072E-04 9.181284E-05 0.000000E+00 1.950405E-04 3.024320E-04 0.000000E+00 4.541224E-04 0.000000E+00 0.000000E+00 0.000000E+00 4.885062E-06 0.000000E+00 3.102649E-05 1.996944E-05 8.758411E-06 5.449331E-05 1.324339E-04 0.000000E+00 2.280998E-04 0.000000E+00 3.147047E-04 0.000000E+00 5.006941E-07 1.687066E-04 1.519606E-04 4.568462E-07 2.334650E-07 1.389113E-04 0.000000E+00 2.480005E-04 2.558091E-05 2.426796E-05 1.978430E-06 0.000000E+00 2.321355E-06 7.820749E-06 2.523695E-06 3.341637E-05 3.381423E-04 0.000000E+00 0.000000E+00 8.984142E-05 0.000000E+00 0.000000E+00 2.112466E-04 0.000000E+00 6.039342E-05 1.974383E-05 5.178794E-04 1.835883E-07 3.497560E-07 0.000000E+00 1.103781E-04 5.123060E-05 2.098840E-07 1.380013E-04 8.656932E-06 0.000000E+00 6.828231E-05 0.000000E+00 2.140875E-05 6.824516E-05 4.706757E-05 8.580390E-05 2.828679E-05 2.516663E-05 1.503991E-06 0.000000E+00 0.000000E+00 5.628590E-05 1.099618E-05 1.671167E-05 0.000000E+00 2.291804E-05 2.968922E-06 8.870346E-05 2.059044E-05 1.499437E-05 2.349854E-04 2.761110E-04 0.000000E+00 1.489539E-06 0.000000E+00 2.421736E-04 0.000000E+00 2.618870E-05 1.788897E-04 0.000000E+00 0.000000E+00 6.454209E-04 1.703773E-05 5.605784E-04 1.221901E-04 3.749825E-06 0.000000E+00 3.011352E-08 4.759864E-04 2.592204E-06 7.356454E-04 1.360807E-04 4.951640E-05 5.473679E-06 0.000000E+00 3.930480E-05 1.500379E-05 1.028997E-04 5.853781E-05 4.760029E-08 0.000000E+00 0.000000E+00 1.122325E-04 1.538806E-04 4.341427E-05 7.258846E-05 3.131587E-06 1.669576E-04 1.295072E-04 1.720160E-04 4.110351E-04 0.000000E+00 0.000000E+00 4.999388E-04 1.859934E-05 0.000000E+00 0.000000E+00 1.079184E-05 1.966347E-04 5.137591E-06 8.571175E-05 7.701699E-05 4.792376E-05 1.452422E-04 1.141903E-04 0.000000E+00 8.476316E-06 1.333567E-04 8.367880E-06 1.183370E-04 2.302012E-04 1.207794E-04 2.641651E-04 2.594314E-04 6.427732E-07 2.059133E-06 0.000000E+00 4.909978E-04 1.358414E-05 1.258932E-05 5.273484E-04 0.000000E+00 9.323503E-06 6.365302E-06 1.478986E-04 0.000000E+00 0.000000E+00 1.275796E-04 9.997587E-04 
53 64 75 93 112 127 186 142 11 99 9 108 85 176 156 155 194 68 
1 6 10 37 38 46 54 61 65 73 100 109 115 132 169 168 94 
3 4 28 57 63 74 97 116 120 136 139 140 146 153 175 181 182 92 174 62 170 191 30 43 128 
2 12 22 39 40 49 51 79 95 113 125 151 164 177 184 185 187 189 16 7 87 137 59 122 135 
25 32 33 42 71 77 83 91 104 118 124 134 143 144 145 149 157 160 165 188 152 102 23 154 
15 19 34 36 52 69 107 110 114 117 130 131 138 150 166 167 171 173 178 180 190 45 179 24 195 
14 18 70 82 88 89 101 103 105 129 161 86 55 80 21 76 66 

============Find Best @ Round 2034================
==========Cluster 0, RcvInterf=4.39425e-14============
Node 52, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 63, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 74, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 92, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 111, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 126, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 185, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 141, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 10, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 98, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 8, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 107, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 84, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 175, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 155, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 154, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 193, SINR:5.85049e-01, BpsHz:3.90899e-02
Node 67, SINR:5.85049e-01, BpsHz:3.90899e-02
---------------
==========Cluster 1, RcvInterf=1.10055e-14============
Node 0, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 5, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 9, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 36, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 37, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 45, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 53, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 60, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 64, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 72, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 99, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 108, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 114, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 131, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 168, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 167, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 93, SINR:5.42679e-01, BpsHz:3.90899e-02
---------------
==========Cluster 2, RcvInterf=2.05837e-14============
Node 2, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 3, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 27, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 56, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 62, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 73, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 96, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 115, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 119, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 135, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 138, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 139, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 145, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 152, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 174, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 180, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 181, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 91, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 173, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 61, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 169, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 190, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 29, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 42, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 127, SINR:9.16078e-01, BpsHz:3.90899e-02
---------------
==========Cluster 3, RcvInterf=3.49670e-14============
Node 1, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 11, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 21, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 38, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 39, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 48, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 50, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 78, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 94, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 112, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 124, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 150, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 163, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 176, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 183, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 184, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 186, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 188, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 15, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 6, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 86, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 136, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 58, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 121, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 134, SINR:9.16078e-01, BpsHz:3.90899e-02
---------------
==========Cluster 4, RcvInterf=4.52005e-14============
Node 24, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 31, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 32, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 41, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 70, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 76, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 82, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 90, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 103, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 117, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 123, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 133, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 142, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 143, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 144, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 148, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 156, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 159, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 164, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 187, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 151, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 101, SINR:8.64859e-01, BpsHz:3.90898e-02
Node 22, SINR:8.64859e-01, BpsHz:3.90899e-02
Node 153, SINR:8.64859e-01, BpsHz:3.90898e-02
---------------
==========Cluster 5, RcvInterf=4.46656e-14============
Node 14, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 18, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 33, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 35, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 51, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 68, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 106, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 109, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 113, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 116, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 129, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 130, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 137, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 149, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 165, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 166, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 170, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 172, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 177, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 179, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 189, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 44, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 178, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 23, SINR:9.16078e-01, BpsHz:3.90899e-02
Node 194, SINR:9.16078e-01, BpsHz:3.90899e-02
---------------
==========Cluster 6, RcvInterf=2.10673e-14============
Node 13, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 17, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 69, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 81, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 87, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 88, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 100, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 102, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 104, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 128, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 160, SINR:5.42679e-01, BpsHz:3.90899e-02
Node 85, SINR:5.42679e-01, BpsHz:3.90899e-02
