195
7
1.000000e-03
1.931016e-312
142
3000
1.181059e+01
1.520691e+00
1.181059e-05
1.154838e-06
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 
1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
127 46 4 79 188 107 82 
3.282964E-05 3.306706E-05 2.287543E-05 0.000000E+00 0.000000E+00 0.000000E+00 9.996982E-04 0.000000E+00 7.214151E-05 1.230119E-05 1.782789E-05 1.258298E-04 8.659210E-04 5.275687E-05 1.077770E-04 5.049123E-04 0.000000E+00 1.573543E-05 3.880111E-04 0.000000E+00 0.000000E+00 2.298046E-06 5.281483E-04 2.098383E-04 2.845139E-05 0.000000E+00 0.000000E+00 1.069762E-04 3.488777E-04 0.000000E+00 0.000000E+00 1.092970E-05 8.666758E-05 2.622491E-05 0.000000E+00 2.920088E-06 4.848168E-05 2.820465E-06 1.095312E-04 9.208525E-05 0.000000E+00 1.394721E-04 0.000000E+00 0.000000E+00 3.524990E-04 0.000000E+00 0.000000E+00 3.378319E-04 4.899556E-06 0.000000E+00 3.111854E-05 1.550069E-05 8.311958E-06 5.859090E-05 1.391909E-04 0.000000E+00 1.797310E-04 0.000000E+00 0.000000E+00 0.000000E+00 5.383436E-07 1.329322E-04 1.197372E-04 4.335589E-07 2.510203E-07 1.459987E-04 0.000000E+00 2.353588E-04 1.985642E-05 2.550615E-05 1.414762E-06 0.000000E+00 2.495908E-06 6.162350E-06 2.395052E-06 3.512132E-05 2.418033E-04 0.000000E+00 0.000000E+00 9.442527E-05 1.215747E-04 0.000000E+00 1.510610E-04 0.000000E+00 5.731492E-05 2.075119E-05 5.194159E-04 1.929552E-07 3.676010E-07 1.321457E-04 7.893061E-05 0.000000E+00 1.991853E-07 0.000000E+00 8.682618E-06 0.000000E+00 5.380297E-05 0.000000E+00 2.031746E-05 7.337682E-05 4.946902E-05 6.135779E-05 2.973003E-05 1.799648E-05 1.580727E-06 0.000000E+00 0.000000E+00 5.341677E-05 1.182304E-05 1.297194E-05 0.000000E+00 2.174981E-05 2.977731E-06 6.885343E-05 2.213872E-05 1.181479E-05 1.824004E-04 1.974451E-04 0.000000E+00 1.173680E-06 0.000000E+00 0.000000E+00 0.000000E+00 1.872736E-05 1.794205E-04 2.069985E-04 0.000000E+00 5.085587E-04 1.790702E-05 4.351324E-04 9.484641E-05 4.031791E-06 0.000000E+00 2.153397E-08 0.000000E+00 2.042524E-06 7.378281E-04 1.056286E-04 3.901639E-05 4.312979E-06 4.699333E-05 3.730127E-05 1.072911E-05 7.358286E-05 4.185999E-05 3.750660E-08 0.000000E+00 0.000000E+00 8.025666E-05 1.194453E-04 4.354309E-05 5.190751E-05 2.467531E-06 1.193902E-04 1.229057E-04 0.000000E+00 2.939284E-04 4.738338E-04 4.129182E-05 3.575029E-04 1.954831E-05 0.000000E+00 0.000000E+00 1.082386E-05 1.406122E-04 3.987902E-06 6.653120E-05 8.280824E-05 5.152736E-05 1.144435E-04 8.863681E-05 0.000000E+00 6.579489E-06 1.050783E-04 6.593461E-06 1.123049E-04 2.308843E-04 9.375142E-05 2.050504E-04 2.013759E-04 5.064724E-07 1.622492E-06 0.000000E+00 4.924546E-04 1.362444E-05 1.194759E-05 5.289130E-04 0.000000E+00 9.351166E-06 4.940877E-06 0.000000E+00 1.406510E-04 0.000000E+00 0.000000E+00 7.760330E-04 
11 53 64 75 93 99 108 112 127 142 186 68 155 9 85 176 81 192 48 
1 10 37 38 46 54 61 65 73 100 109 115 132 169 168 
3 4 57 63 74 97 116 120 136 139 140 146 153 175 181 182 28 170 141 174 159 62 128 
2 12 16 22 39 40 49 51 79 87 95 113 125 137 151 164 177 184 185 187 189 7 
25 32 33 42 71 77 83 91 104 118 124 134 143 144 145 149 152 157 160 165 188 102 13 23 158 126 29 154 90 
15 19 34 36 52 69 107 110 114 117 130 131 138 150 166 167 171 173 178 180 190 45 24 179 195 
14 18 70 82 86 88 89 101 103 105 129 161 80 55 76 66 

============Find Best @ Round 2155================
==========Cluster 0, RcvInterf=4.12110e-14============
Node 10, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 52, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 63, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 74, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 92, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 98, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 107, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 111, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 126, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 141, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 185, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 67, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 154, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 8, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 84, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 175, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 80, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 191, SINR:5.80840e-01, BpsHz:3.67051e-02
Node 47, SINR:5.80840e-01, BpsHz:3.67051e-02
---------------
==========Cluster 1, RcvInterf=2.15541e-14============
Node 0, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 9, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 36, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 37, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 45, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 53, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 60, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 64, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 72, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 99, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 108, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 114, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 131, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 168, SINR:4.27876e-01, BpsHz:3.67051e-02
Node 167, SINR:4.27876e-01, BpsHz:3.67051e-02
---------------
==========Cluster 2, RcvInterf=1.91247e-14============
Node 2, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 3, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 56, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 62, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 73, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 96, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 115, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 119, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 135, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 138, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 139, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 145, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 152, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 174, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 180, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 181, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 27, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 169, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 140, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 173, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 158, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 61, SINR:7.50190e-01, BpsHz:3.67051e-02
Node 127, SINR:7.50190e-01, BpsHz:3.67051e-02
---------------
==========Cluster 3, RcvInterf=5.09101e-14============
Node 1, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 11, SINR:7.06224e-01, BpsHz:3.67051e-02
Node 15, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 21, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 38, SINR:7.06224e-01, BpsHz:3.67051e-02
Node 39, SINR:7.06224e-01, BpsHz:3.67051e-02
Node 48, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 50, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 78, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 86, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 94, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 112, SINR:7.06224e-01, BpsHz:3.67051e-02
Node 124, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 136, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 150, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 163, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 176, SINR:7.06224e-01, BpsHz:3.67051e-02
Node 183, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 184, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 186, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 188, SINR:7.06223e-01, BpsHz:3.67051e-02
Node 6, SINR:7.06223e-01, BpsHz:3.67051e-02
---------------
==========Cluster 4, RcvInterf=1.96256e-14============
Node 24, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 31, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 32, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 41, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 70, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 76, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 82, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 90, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 103, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 117, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 123, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 133, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 142, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 143, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 144, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 148, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 151, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 156, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 159, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 164, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 187, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 101, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 12, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 22, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 157, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 125, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 28, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 153, SINR:1.03883e+00, BpsHz:3.67051e-02
Node 89, SINR:1.03883e+00, BpsHz:3.67051e-02
---------------
==========Cluster 5, RcvInterf=3.49500e-14============
Node 14, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 18, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 33, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 35, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 51, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 68, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 106, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 109, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 113, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 116, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 129, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 130, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 137, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 149, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 165, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 166, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 170, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 172, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 177, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 179, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 189, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 44, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 23, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 178, SINR:8.41552e-01, BpsHz:3.67051e-02
Node 194, SINR:8.41552e-01, BpsHz:3.67051e-02
---------------
==========Cluster 6, RcvInterf=2.99538e-14============
Node 13, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 17, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 69, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 81, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 85, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 87, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 88, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 100, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 102, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 104, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 128, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 160, SINR:4.64671e-01, BpsHz:3.67051e-02
Node 79, SINR:4.64671e-01, BpsHz:3.67051e-02
