195
5
1.000000e-03
1.858248e-303
181
3000
8.959682e+00
4.906006e+00
8.959682e-06
2.621926e-06
0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 
0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 
0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 
78 36 33 159 58 
0.000000E+00 3.691129E-04 6.866900E-05 1.879478E-05 5.004183E-07 2.932556E-05 2.052270E-04 1.082631E-05 1.451381E-06 2.701086E-05 1.845957E-04 5.095395E-05 4.996085E-05 6.259693E-05 4.260481E-06 1.830274E-04 3.094632E-05 2.495170E-05 2.104275E-04 1.641882E-05 3.271632E-05 1.148375E-04 7.283419E-06 5.328447E-06 5.132669E-06 9.921157E-05 2.671047E-05 0.000000E+00 4.992602E-07 4.605094E-05 7.649818E-06 2.121204E-04 0.000000E+00 2.908927E-05 4.954212E-05 0.000000E+00 1.428842E-04 2.894598E-05 1.585882E-05 3.499213E-04 9.701117E-06 0.000000E+00 0.000000E+00 3.797685E-05 2.155485E-05 8.664087E-05 3.304876E-06 2.234776E-05 4.713659E-06 4.569716E-05 7.088482E-05 2.462623E-05 3.191320E-05 6.673819E-04 4.522478E-04 2.918499E-06 2.631866E-04 0.000000E+00 1.545186E-05 7.799860E-05 1.280604E-04 6.776471E-05 1.594744E-04 4.698150E-05 1.285082E-04 3.100029E-05 1.828828E-05 4.041837E-05 2.841310E-05 2.184932E-05 3.959994E-06 1.404706E-05 1.749192E-04 1.834578E-06 1.473542E-04 3.191242E-05 1.788386E-05 0.000000E+00 4.668966E-05 8.742275E-04 0.000000E+00 5.907113E-05 1.198186E-05 1.076085E-04 1.786558E-06 4.715374E-06 1.165758E-04 1.750102E-04 1.650152E-05 2.190844E-04 3.155790E-04 3.375243E-07 5.109358E-05 1.811885E-07 3.801289E-06 6.666132E-05 1.846836E-04 7.095409E-06 2.534096E-04 8.895647E-04 7.582970E-04 2.328385E-04 1.304677E-05 2.953443E-06 0.000000E+00 1.312398E-05 5.148996E-07 2.313990E-04 4.486182E-04 2.170612E-05 8.667420E-05 1.038596E-04 3.394193E-05 9.611837E-07 5.739708E-04 2.945096E-05 8.879878E-06 6.218341E-04 5.712248E-05 2.144754E-05 8.410862E-06 1.246553E-05 0.000000E+00 7.113593E-05 8.273969E-04 1.438546E-04 1.154392E-04 4.237871E-05 1.066652E-04 2.169400E-04 2.610050E-05 4.658193E-04 5.131532E-04 4.838781E-05 3.176152E-05 1.035112E-06 2.772575E-04 2.107679E-06 1.008245E-04 1.200646E-06 1.066098E-07 1.833505E-04 1.580020E-04 6.225129E-05 2.829327E-04 3.514931E-05 3.942709E-05 2.137562E-05 1.916699E-04 5.493084E-05 5.965377E-05 2.028086E-05 2.892316E-05 8.720373E-06 1.564473E-04 5.142713E-05 1.558342E-04 9.994573E-04 0.000000E+00 1.369263E-04 0.000000E+00 2.153157E-05 1.749807E-04 1.284396E-05 1.445534E-07 9.120282E-06 1.069344E-06 1.547495E-05 2.304735E-08 7.632701E-05 2.089515E-06 5.070258E-06 4.346077E-08 0.000000E+00 1.912159E-05 1.034359E-04 2.513785E-04 1.728725E-05 5.736220E-05 1.204682E-04 2.519085E-05 4.063652E-06 2.236610E-06 4.968341E-04 2.337458E-05 3.747186E-04 2.425114E-04 2.839914E-05 1.173799E-04 1.197716E-05 2.341252E-04 1.206005E-06 2.319807E-04 1.577352E-04 3.240606E-04 
78 27 100 156 168 94 132 73 65 163 111 70 44 169 18 60 38 106 172 10 176 48 5 96 54 115 145 155 142 99 68 109 158 129 8 6 46 72 61 149 80 84 121 88 47 91 126 37 101 186 
36 170 107 171 130 180 166 110 167 138 190 62 15 52 173 131 178 114 19 24 128 69 45 150 34 117 179 
33 31 23 77 104 25 134 119 83 165 188 157 160 7 177 151 29 152 144 148 143 71 13 12 184 98 32 124 194 118 26 51 187 122 67 154 90 193 102 
159 103 140 141 92 74 136 20 14 162 146 175 57 66 86 120 153 139 181 89 63 183 116 41 182 17 3 97 4 30 35 76 21 82 55 191 
58 192 9 95 85 135 39 64 22 147 79 189 87 40 137 16 164 53 113 49 56 50 93 185 59 127 2 112 75 108 195 125 133 11 

============Find Best @ Round 1230================
==========Cluster 0, RcvInterf=1.87293e-14============
Node 77, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 26, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 99, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 155, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 167, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 93, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 131, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 72, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 64, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 162, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 110, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 69, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 43, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 168, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 17, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 59, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 37, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 105, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 171, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 9, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 175, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 47, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 4, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 95, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 53, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 114, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 144, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 154, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 141, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 98, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 67, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 108, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 157, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 128, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 7, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 5, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 45, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 71, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 60, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 148, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 79, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 83, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 120, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 87, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 46, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 90, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 125, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 36, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 100, SINR:4.71704e-01, BpsHz:1.13773e-02
Node 185, SINR:4.71704e-01, BpsHz:1.13773e-02
---------------
==========Cluster 1, RcvInterf=1.65264e-14============
Node 35, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 169, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 106, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 170, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 129, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 179, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 165, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 109, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 166, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 137, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 189, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 61, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 14, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 51, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 172, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 130, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 177, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 113, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 18, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 23, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 127, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 68, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 44, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 149, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 33, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 116, SINR:2.27574e-01, BpsHz:1.13773e-02
Node 178, SINR:2.27574e-01, BpsHz:1.13773e-02
---------------
==========Cluster 2, RcvInterf=1.86549e-14============
Node 32, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 30, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 22, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 76, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 103, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 24, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 133, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 118, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 82, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 164, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 187, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 156, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 159, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 6, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 176, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 150, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 28, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 151, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 143, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 147, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 142, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 70, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 12, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 11, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 183, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 97, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 31, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 123, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 193, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 117, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 25, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 50, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 186, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 121, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 66, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 153, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 89, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 192, SINR:3.49418e-01, BpsHz:1.13773e-02
Node 101, SINR:3.49418e-01, BpsHz:1.13773e-02
---------------
==========Cluster 3, RcvInterf=2.18806e-14============
Node 158, SINR:0.00000e+00, BpsHz:0.00000e+00
Node 102, SINR:3.17868e-01, BpsHz:1.13773e-02
Node 139, SINR:3.17868e-01, BpsHz:1.13773e-02
Node 140, SINR:3.17868e-01, BpsHz:1.13773e-02
Node 91, SINR:3.17868e-01, BpsHz:1.13773e-02
Node 73, SINR:3.17868e-01, BpsHz:1.13773e-02
Node 135, SINR:3.17868e-01, BpsHz:1.13773e-02
Node 19, SINR:3.17868e-01, BpsHz:1.13773e-02
Node 13, SINR:3.17868e-01, BpsHz:1.13773e-02
Node 161, SINR:3.17868e-01, BpsHz:1.13773e-02
