Compression Ratio 0.477355 indEntropy 10.0471
5
Compression Ratio 0.477355 indEntropy 10.0471
5
best 195   Information Ratio:1
Not Found the answer Yet
Computing Time 5.810000 
Compression Ratio 0.477355 indEntropy 10.0471
195 1 39
195 1 124
195 1 0
195 1 41
195 1 43
195 1 59
195 1 90
195 1 110
195 1 125
195 1 144
195 1 148
195 1 157
195 1 162
195 1 167
195 2 2
195 2 42
195 2 61
195 2 107
195 2 119
195 2 173
195 2 174
195 3 3
195 3 56
195 3 62
195 3 73
195 3 96
195 3 115
195 3 135
195 3 138
195 3 139
195 3 145
195 3 180
195 3 181
195 4 47
195 4 67
195 4 77
195 4 93
195 4 105
195 4 168
195 4 171
195 5 9
195 5 26
195 5 36
195 5 37
195 5 83
195 6 6
195 6 11
195 6 118
195 6 147
195 6 176
195 6 183
195 7 4
195 7 17
195 7 46
195 7 69
195 7 71
195 7 95
195 7 128
195 8 8
195 8 52
195 8 55
195 8 57
195 8 63
195 8 74
195 8 92
195 8 111
195 8 126
195 8 191
195 9 45
195 9 53
195 9 64
195 9 72
195 9 99
195 9 108
195 9 114
195 9 131
195 10 10
195 10 25
195 10 89
195 10 101
195 10 151
195 10 192
195 11 30
195 11 50
195 11 97
195 11 121
195 11 150
195 11 153
195 11 163
195 12 12
195 12 24
195 12 76
195 12 143
195 12 156
195 12 159
195 14 14
195 14 35
195 14 44
195 14 113
195 14 116
195 14 172
195 15 15
195 15 38
195 15 49
195 15 58
195 15 86
195 15 132
195 15 136
195 15 146
195 15 194
195 16 80
195 16 98
195 16 154
195 16 155
195 16 175
195 16 185
195 18 18
195 18 51
195 18 68
195 18 106
195 18 109
195 18 122
195 18 129
195 18 130
195 18 149
195 18 165
195 18 177
195 18 178
195 18 179
195 18 189
195 19 13
195 19 19
195 19 65
195 19 85
195 19 91
195 19 102
195 19 140
195 19 158
195 19 161
195 20 20
195 20 29
195 20 34
195 20 40
195 20 75
195 21 21
195 21 48
195 21 78
195 21 94
195 21 184
195 21 188
195 23 27
195 23 127
195 23 137
195 23 166
195 23 169
195 24 31
195 24 70
195 24 117
195 24 123
195 24 133
195 24 187
best 195   Information Ratio:1
Not Found the answer Yet
Computing Time 9.950000 
